Kanji,Hiragana,English
満足,まんぞく,satisfaction
必死,ひっし,"inevitable death,desperation,frantic,inevitable result"
博士,はかせ,"doctorate,PhD"
大抵,たいてい,"usually,generally"
胃,い,stomach
運転,うんてん,"operation,motion,driving"
板,いた,"board,plank"
入院,にゅういん,hospitalization
需要,じゅよう,"demand,request"
進学,しんがく,going on to university
他,ほか,other (esp. places and things)
独身,どくしん,"bachelorhood,single,unmarried,celibate"
,クリスマス,Christmas
構成,こうせい,"organization,composition"
祝い,いわい,"celebration,festival"
吠える,ほえる,"to bark,to bay,to howl,to bellow,to roar,to cry"
外,ほか,"other place,the rest"
支払う,しはらう,to pay
実際,じっさい,"practical,actual condition,status quo"
旅,たび,"travel,trip,journey"
利益,りえき,"profits,gains,(political, economic) interest"
移す,うつす,"to remove,to transfer,to infect"
審判,しんぱん,"refereeing,trial,judgement,umpire,referee"
七,しち,seven
劣る,おとる,"to fall behind,to be inferior to"
止す,よす,"to cease,to abolish,to resign,to give up"
行き,いき,going
金,かね,"(1) gold,(2) gold general (shogi) (abbr)"
香り,かおり,"aroma,fragrance,scent,smell"
切れ,きれ,"cloth,piece,cut,chop"
鬼,おに,"ogre,demon,it (i.e., in a game of tag)"
全て,すべて,"all,the whole,entirely,in general,wholly"
強調,きょうちょう,"emphasis,stress,stressed point"
年間,ねんかん,year
制度,せいど,"system,institution,organization"
別れ,わかれ,"parting,separation,farewell"
換える,かえる,"to exchange,to interchange,to substitute,to replace"
記念,きねん,"commemoration,memory"
与える,あたえる,"to give,to present,to award"
十,じゅう,"10,ten"
奇妙,きみょう,"strange,queer,curious"
参考,さんこう,"reference,consultation"
,おじいさん,"grandfather,male senior-citizen"
態度,たいど,"attitude,manner"
少々,しょうしょう,"just a minute,small quantity"
知識,ちしき,"knowledge,information"
縄,なわ,"rope,hemp"
転ぶ,ころぶ,"to fall down,to fall over"
莫大,ばくだい,"enormous,vast"
品,しな,"thing,article,goods,dignity,article (goods),counter for meal courses"
,のんびり,"carefree,at leisure"
,まさか,by no means
根,ね,root
格好,かっこう,"shape,form,posture,suitability"
効果,こうか,"effect,effectiveness,efficacy,result"
楽,らく,"comfort,ease"
留学,りゅうがく,studying abroad
政府,せいふ,"government,administration"
企業,きぎょう,"enterprise,undertaking"
,コンピューター,computer
装置,そうち,"equipment,installation,apparatus"
,クリーム,cream
,クラシック,classic(s)
提出,ていしゅつ,"presentation,submission,filing"
王様,おうさま,king
土産,みやげ,"present,souvenir"
馬鹿,ばか,"fool,idiot,trivial matter,folly"
優秀,ゆうしゅう,"superiority,excellence"
税,ぜい,
得る,える,"to get,to gain,to win"
はい,（感）,"wear,put on (sword)"
実現,じつげん,"implementation,materialization,realization"
負け,まけ,"defeat,loss,losing (a game)"
迎え,むかえ,"meeting,person sent to pick up an arrival"
,ぴったり,"exactly,neatly,sharp"
通学,つうがく,commuting to school
七,なな,seven
,まるで,"quite,entirely,completely"
舌,した,tongue
,だけど,however
汗,あせ,"sweat,perspiration"
設備,せつび,"equipment,device,facilities,installation"
努力,どりょく,"great effort,exertion,endeavour,effort"
指導,しどう,"leadership,guidance,coaching"
列車,れっしゃ,train (ordinary)
家賃,やちん,rent
疑問,ぎもん,"question,problem,doubt,guess"
,そして,and
料金,りょうきん,"fee,charge,fare"
婦人,ふじん,"woman,female"
迷惑,めいわく,"trouble,bother,annoyance"
見当,けんとう,"be found,aim,estimate,guess,approx"
議会,ぎかい,"Diet,congress,parliament"
中学,ちゅうがく,"middle school,junior high school"
諺,ことわざ,"proverb,maxim"
輸出,ゆしゅつ,export
閉じる,とじる,"to close (e.g. book, eyes),to shut"
進歩,しんぽ,"progress,development"
塀,へい,"wall,fence"
値,ね,"value,price,cost"
正確,せいかく,"accurate,punctuality,exactness,authenticity,veracity"
誰か,だれか,"someone,somebody"
粗末,そまつ,"crude,rough,plain,humble"
建設,けんせつ,"construction,establishment"
傷,きず,"wound,injury,hurt,cut"
支店,してん,branch store (office)
,ますます,"increasingly,more and more"
通行,つうこう,"passage,passing"
,トランプ,playing cards (lit: trump)
共同,きょうどう,"cooperation,association,collaboration,joint"
解ける,とける,"to come untied,to come apart"
賢い,かしこい,"wise,clever,smart"
去る,さる,"to leave,to go away"
触れる,ふれる,"to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t"
完全,かんぜん,"perfection,completeness"
直に,じかに,"immediately,readily,directly"
熱帯,ねったい,tropics
年月,としつき,months and years
役割,やくわり,"part,assigning (allotment of) parts,role,duties"
どう,（接。副）,"child,servant,foolishness"
,ちゃんと,"perfectly,properly,exactly"
幸運,こううん,"good luck,fortune"
男子,だんし,"youth,young man"
合格,ごうかく,"success,passing (e.g. exam),eligibility"
招待,しょうたい,invitation
経営,けいえい,"management,administration"
使用,しよう,"use,application,employment,utilization"
期間,きかん,"period,term"
弁当,べんとう,box lunch
依頼,いらい,"(1) request,commission,dispatch,(2) dependence,trust"
監督,かんとく,"supervision,control,superintendence"
教授,きょうじゅ,"teaching,instruction,professor"
至る,いたる,"to come,to arrive"
飛行,ひこう,aviation
真剣,しんけん,"seriousness,earnestness"
球,たま,"globe,sphere,ball"
組合,くみあい,"association,union"
豊富,ほうふ,"abundance,wealth,plenty,bounty"
担当,たんとう,(in) charge
済ませる,すませる,to be finished
人込み,ひとごみ,crowd of people
禁煙,きんえん,No Smoking!
理想,りそう,ideal
,さて,"well,now,then"
不安,ふあん,"anxiety,uneasiness,insecurity,suspense"
有能,ゆうのう,"able,capable,efficient,skill"
密,みつ,
,より,"twist,ply"
釣,つり,
本当,ほんとう,"truth,reality"
価値,かち,"value,worth,merit"
独特,どくとく,"peculiarity,uniqueness,characteristic"
団体,だんたい,"organization,association"
,きつい,"tight,close,intense"
欠席,けっせき,"absence,non-attendance"
下,しも,"under,below,beneath"
罰する,ばっする,"to punish,to penalize"
好む,このむ,"to like,to prefer"
,オフィス,office
,チーム,team
,じっと,"fixedly,firmly,patiently,quietly"
提案,ていあん,"proposal,proposition,suggestion"
離れる,はなれる,"to be separated from,to leave,to go away,to be a long way off"
上等,じょうとう,"superiority,first class,very good"
局,きょく,"court lady,lady in waiting"
手間,てま,"time,labour"
得る,うる,"to get,to gain,to win"
下り,くだり,down-train (going away from Tokyo)
一生,いっしょう,"whole life,a lifetime,all through life"
妙,みょう,"strange,unusual"
電子,でんし,electron
一層,いっそう,"much more,still more,all the more"
混乱,こんらん,"disorder,chaos,confusion,mayhem"
雇う,やとう,"to employ,to hire"
,しゃべる,"to talk,to chat,to chatter"
価格,かかく,"price,value,cost"
化粧,けしょう,make-up (cosmetic)
衛星,えいせい,satellite
,スープ,(Western) soup
岸,きし,"bank,coast,shore"
駄目,だめ,"useless,no good,hopeless"
婚約,こんやく,"engagement,betrothal"
予期,よき,"expectation,assume will happen,forecast"
訓,くん,native Japanese reading of a Chinese character
お腹,おなか,stomach
髪の毛,かみのけ,hair (head)
四,よん,four
否定,ひてい,"negation,denial,repudiation"
適用,てきよう,applying
観察,かんさつ,"observation,survey"
餌,えさ,"feed,bait"
向く,むく,to face
日常,にちじょう,"ordinary,regular,everyday,usual"
管理,かんり,"control,management (e.g. of a business)"
では,では,"chance of going out,opportunity (to succeed),moment of departure,beginning of work"
種類,しゅるい,"variety,kind,type"
腹,はら,"abdomen,belly,stomach"
嵐,あらし,"storm,tempest"
出会う,であう,"to meet by chance,to come across,to happen to encounter"
好み,このみ,"liking,taste,choice"
軒,けん,eaves
王子,おうじ,prince
,ところが,"however,while,even if"
省く,はぶく,"to omit,to eliminate,to curtail,to economize"
基,もと,basis
故障,こしょう,"break-down,failure,accident,out of order"
余分,よぶん,"extra,excess,surplus"
請求,せいきゅう,"claim,demand,application,request"
,かわいらしい,"lovely,sweet"
精神,せいしん,"mind,soul,heart,spirit,intention"
老い,おい,"old age,old person,the old,the aged"
悪口,わるくち,"abuse,insult,slander,evil speaking"
全員,ぜんいん,"all members (unanimity),all hands,the whole crew"
現象,げんしょう,phenomenon
,あと,"(1) trace,tracks,(2) remains,ruins,(3) scar"
主義,しゅぎ,"doctrine,rule,principle"
多少,たしょう,"more or less,somewhat,a little,some"
適する,てきする,"to fit,to suit"
強盗,ごうとう,"robbery,burglary"
昨,さく,"last (year),yesterday"
農家,のうか,"farmer,farm family"
今回,こんかい,"now,this time,lately"
上,じょう,"(1) first volume,(2) superior quality,(3) governmental"
無し,なし,without
親しい,したしい,"intimate,close (e.g. friend)"
本当,ほんと,"truth,reality"
共通,きょうつう,"commonness,community"
出身,しゅっしん,"graduate from,come from"
準備,じゅんび,"preparation,arrangements,provision,reserve"
議員,ぎいん,"member of the Diet, congress or parliament"
はあ,（感）,
確かめる,たしかめる,to ascertain
女子,じょし,"woman,girl"
筋肉,きんにく,"muscle,sinew"
滞在,たいざい,"stay,sojourn"
一言,ひとこと,single word
描く,かく,"to draw,to paint,to sketch,to depict,to describe"
女王,じょおう,queen
決まり,きまり,"settlement,conclusion,regulation,rule"
体温,たいおん,temperature (body)
記憶,きおく,"memory,recollection,remembrance"
計画,けいかく,"plan,project,schedule,scheme,program"
,で,"outflow,coming (going) out,graduate (of)"
夫婦,ふうふ,"married couple,husband and wife"
今にも,いまにも,"at any time,soon"
分,ぶん,"dividing,part,segment"
金,きん,"(1) gold,(2) gold general (shogi) (abbr)"
,けち,"stinginess,miser,miserliness"
うまい,うまい,delicious
対する,たいする,"to face,to confront,to oppose"
被る,かぶる,to suffer
,まさに,"correctly,surely"
十,とお,"10,ten"
それ,（接。感）,"it,that"
都会,とかい,city
美人,びじん,beautiful person (woman)
信仰,しんこう,"(religious) faith,belief,creed"
説,せつ,theory
昼食,ちゅうしょく,"lunch,midday meal"
出版,しゅっぱん,publication
海外,かいがい,"foreign,abroad,overseas"
永遠,えいえん,"eternity,perpetuity,immortality,permanence"
計,けい,plan
前者,ぜんしゃ,the former
,ボート,rowing boat
,ゴール,goal
一致,いっち,"(1) coincidence,agreement,(2) conformity"
誤解,ごかい,misunderstanding
能力,のうりょく,"ability,faculty"
快適,かいてき,"pleasant,agreeable,comfortable"
不利,ふり,"disadvantage,handicap,unfavorable,drawback"
望み,のぞみ,"wish,desire,(a) hope"
章,しょう,"(1) chapter,section,(2) medal"
居間,いま,living room (western style)
,ミルク,milk
拍手,はくしゅ,"clapping hands,applause"
徹夜,てつや,"all night,all night vigil,sleepless night"
為る,なる,"to change,to be of use,to reach to"
吐く,はく,"(1) to breathe,(2) to tell (lies),(3) to vomit,to disgorge"
委員,いいん,committee member
積極的,せっきょくてき,"positive,active,proactive"
,ベルト,Belt for western clothes
,いち,"market,fair"
方,ほう,side
,いらいら,"getting nervous,irritation"
友人,ゆうじん,friend
務め,つとめ,"(1) service,duty,(2) Buddhist religious services"
,それぞれ,"each,every,either,respectively,severally"
金融,きんゆう,"monetary circulation,credit situation"
梅雨,ばいう,"rainy season,rain during the rainy season"
絶対,ぜったい,"absolute,unconditional,absoluteness"
模様,もよう,"pattern,figure,design"
綿,わた,"cotton,padding"
旧,きゅう,ex-
雷,かみなり,thunder
溺れる,おぼれる,"to be drowned,to indulge in"
時期,じき,"time,season,period"
支出,ししゅつ,"expenditure,expenses"
立ち上がる,たちあがる,to stand up
全国,ぜんこく,"country-wide,nation-wide,whole country,national"
収穫,しゅうかく,"harvest,crop,ingathering"
実施,じっし,"enforcement,enact,put into practice,carry out,operation"
集まり,あつまり,"gathering,meeting,assembly,collection"
助ける,たすける,"to help,to save,to rescue"
語学,ごがく,language study
,うなる,"to groan,to moan"
双子,ふたご,"twins,a twin"
,ワイン,wine
,もしも,if
,ボーイ,boy
放す,はなす,"to separate,to set free"
感謝,かんしゃ,"thanks,gratitude"
等しい,ひとしい,equal
飼う,かう,"to keep,to raise,to feed"
,キャンプ,camp
幾ら,いくら,"how much?,how many?"
豆,まめ,"beans,peas"
虎,とら,tiger
喉,のど,throat
申し込む,もうしこむ,"to apply for,to make an application"
停留所,ていりゅうじょ,bus or tram stop
骨折,こっせつ,bone fracture
裁判,さいばん,"trial,judgement"
,かわいそう,"poor,pitiable,pathetic"
,どんな,"what,what kind of"
宿,やど,"inn,lodging"
不思議,ふしぎ,"mystery,curiosity"
叩く,たたく,"to strike,to clap,to dust,to beat"
,プラス,plus
,トラック,"(1) truck,(2) (running) track"
波,なみ,wave
事情,じじょう,"circumstances,consideration,conditions,situation,reasons"
空く,すく,"(1) to open,to become empty,(2) to be less crowded"
要するに,ようするに,"in a word,after all,the point is ..,in short .."
文明,ぶんめい,"civilization,culture"
申し訳,もうしわけ,"apology,excuse"
稼ぐ,かせぐ,"to earn income,to labor"
,いずれ,"where,which,who"
埃,ほこり,dust
中止,ちゅうし,"suspension,stoppage,discontinuance,interruption"
定期,ていき,fixed term
思わず,おもわず,"unintentional,spontaneous"
息,いき,"breath,tone"
随分,ずいぶん,extremely
余り,あまり,"not very (used as adverb),not much"
側,そば,"side,edge,third person"
成功,せいこう,"success,hit"
能,のう,"being skilled in,nicely,properly"
協力,きょうりょく,"cooperation,collaboration"
機嫌,きげん,"humour,temper,mood"
流れ,ながれ,"stream,current"
維持,いじ,"maintenance,preservation"
,ロケット,"locket,rocket"
同時,どうじ,"simultaneous(ly),concurrent,same time,synchronous"
抵抗,ていこう,"electrical resistance,resistance,opposition"
羽,はね,"counter for birds,counter for rabbits"
刑事,けいじ,"criminal case,(police) detective"
順番,じゅんばん,"turn (in line),order of things"
,あっ,"Ah!,Oh!"
無,ぶ,"nothing,naught,nil,zero"
受け取る,うけとる,"to receive,to get,to accept,to take"
元,もと,"(1) origin,original,(2) former"
,スタイル,style
喜び,よろこび,"(a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations"
,トップ,top
土曜,どよう,Saturday
物事,ものごと,"things,everything"
前進,ぜんしん,"advance,drive,progress"
匂い,におい,"odour,scent,smell,stench"
得意,とくい,"pride,triumph,prosperity"
同様,どうよう,"identical,equal to,same (kind),like"
次々,つぎつぎ,"in succession,one by one"
頃,ころ,"time,about,toward,approximately (time)"
,かもしれない,"may,might,perhaps,may be,possibly"
,がっかり,"feel disappointed,be dejected,lose heart"
収入,しゅうにゅう,"income,receipts,revenue"
営業,えいぎょう,"business,trade,management"
心理,しんり,mentality
工場,こうば,"factory,plant,mill,workshop"
,どこか,"somewhere,anywhere"
背,せい,"height,stature"
売れる,うれる,to be sold
握手,あくしゅ,handshake
障害,しょうがい,"obstacle,impediment (fault),damage"
,ハイキング,hiking
独り,ひとり,"alone,unmarried"
離す,はなす,"to part,divide,separate"
尤も,もっとも,"quite right,plausible,natural,but then,although"
植物,しょくぶつ,"plant,vegetation"
真っ赤,まっか,"deep red,flushed (of face)"
判断,はんだん,"judgement,decision"
芝生,しばふ,lawn
泉,いずみ,"spring,fountain"
不正,ふせい,"injustice,unfairness"
,ただ,"free of charge,mere,only"
,グループ,group
注ぐ,そそぐ,"to pour (into),to irrigate,to pay,to fill,to feed (e.g. a fire)"
罹る,かかる,to suffer from
謎,なぞ,"riddle,puzzle,enigma"
追う,おう,"to chase,to run after"
勇気,ゆうき,"courage,bravery,valour,nerve,boldness"
予報,よほう,"forecast,prediction"
,いい,good
伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)"
撃つ,うつ,"to attack,to defeat,to destroy"
願い,ねがい,"desire,wish,request"
永久,えいきゅう,"eternity,perpetuity,immortality"
皿,さら,"plate,dish"
同僚,どうりょう,"coworker,colleague,associate"
現場,げんば,"actual spot,scene,scene of the crime"
心臓,しんぞう,heart
少年,しょうねん,"boys,juveniles"
居眠り,いねむり,"dozing,nodding off"
数字,すうじ,"numeral,figure"
修理,しゅうり,"repairing,mending"
扱う,あつかう,"to handle,to deal with,to treat"
騒ぎ,さわぎ,"uproar,disturbance"
愛,あい,love
誇り,ほこり,pride
県,けん,prefecture
問い,とい,"question,query"
信用,しんよう,"confidence,dependence,credit,faith"
冷静,れいせい,"calm,composure,coolness,serenity"
礼,れい,expression of gratitude
河,かわ,"river,stream"
諦める,あきらめる,"to give up,to abandon"
具体,ぐたい,"concrete,tangible,material"
何で,なんで,"Why?,What for?"
芝居,しばい,"play,drama"
到着,とうちゃく,arrival
区別,くべつ,"distinction,differentiation,classification"
繰り返す,くりかえす,"to repeat,to do something over again"
大,だい,
雰囲気,ふんいき,"atmosphere (e.g. musical),mood,ambience"
検討,けんとう,"consideration,examination,investigation,study,scrutiny"
少しも,すこしも,"anything of,not one bit"
自身,じしん,"by oneself,personally"
秘密,ひみつ,"secret,secrecy"
当時,とうじ,"at that time,in those days"
,オーバー,"(1) overcoat,(2) over"
,はさみ,scissors
微笑む,ほほえむ,to smile
育つ,そだつ,"to raise (child),to be brought up,to grow (up)"
大戦,たいせん,"great war,great battle"
効く,きく,to be effective
,スイッチ,switch
通り過ぎる,とおりすぎる,"to pass,to pass through"
横切る,よこぎる,"to cross (e.g. arms),to traverse"
柄,がら,"hilt (of a sword),haft (of a dagger),handgrip"
他,た,other (esp. places and things)
流す,ながす,"to drain,to float,to shed (blood, tears),to cruise (e.g. taxi)"
,おそらく,perhaps
,あいにく,"unfortunately,Sorry, but...."
帰宅,きたく,returning home
いつも,いつも,"always,usually,every time,never (with neg. verb)"
推薦,すいせん,recommendation
責任,せきにん,"duty,responsibility"
天然,てんねん,"nature,spontaneity"
解釈,かいしゃく,"explanation,interpretation"
法,ほう,Act (law: the X Act)
尊敬,そんけい,"respect,esteem,reverence,honour"
学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in"
尊重,そんちょう,"respect,esteem,regard"
程,ほど,"degree,extent,bounds,limit"
欠陥,けっかん,"defect,fault,deficiency"
当てる,あてる,"to hit,to apply a patch"
日,にち,"sun,sunshine,day"
首都,しゅと,capital city
反抗,はんこう,"opposition,resistance"
見る,みる,"to see,to watch"
,ごめんなさい,"I beg your pardon,excuse me"
思い出,おもいで,"memories,recollections,reminiscence"
届く,とどく,to reach
,そのうち,"eventually,sooner or later,of the previously mentioned"
嬉しい,うれしい,"happy,glad,pleasant"
我慢,がまん,"patience,endurance,perseverance"
年寄,としより,"old people,the aged"
代金,だいきん,"price,payment,cost,charge"
有効,ゆうこう,"validity,availability,effectiveness"
端,はし,"end (e.g. of street),edge,tip,margin,point"
言語,げんご,language
振る,ふる,"(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)"
承認,しょうにん,"recognition,acknowledgement,approval,consent,agreement"
借金,しゃっきん,"debt,loan,liabilities"
小屋,こや,"hut,cabin,shed,(animal) pen"
現金,げんきん,"cash,ready money,mercenary,self-interested"
競技,きょうぎ,"game,match,contest"
議長,ぎちょう,chairman
旗,はた,flag
分ける,わける,"to divide,to separate"
,セット,set
成長,せいちょう,"growth,grow to adulthood"
広がる,ひろがる,"to spread (out),to extend,to stretch,to reach to,to get around"
掃除,そうじ,"cleaning,sweeping"
陰,かげ,"shade,shadow,other side"
直,じき,"earnestly,immediately,exactly"
その,その,"the,that"
知能,ちのう,"intelligence,brains"
言わば,いわば,so to speak
,あるいは,"or,possibly"
秒,びょう,second (60th min)
,やはり,"also,as I thought,still,in spite of,absolutely,of course"
解く,とく,to unfasten
生産,せいさん,"production,manufacture"
何,なに,what
最低,さいてい,"least,lowest,worst"
噂,うわさ,"rumour,report,gossip,common talk"
自然,しぜん,"nature,spontaneous"
優れる,すぐれる,"to surpass,to outstrip,to excel"
言う,ゆう,to say
印象,いんしょう,impression
,ペンキ,(n) paint (nl: pek)
厄介,やっかい,"trouble,burden,care,bother"
論争,ろんそう,"controversy,dispute"
しまった,（感）,Damn it!
冗談,じょうだん,"jest,joke"
当たる,あたる,"to be hit,to be successful,to be equivalent to"
痛み,いたみ,"pain,ache,sore,grief,distress"
下す,おろす,"to lower,to let go down"
論文,ろんぶん,"thesis,essay,treatise,paper"
,うがい,"gargle,rinse mouth"
疲れ,つかれ,"tiredness,fatigue"
,デート,"date,go on a date"
横断,おうだん,crossing
余裕,よゆう,"surplus,composure,margin,room,time,allowance,scope,rope"
,ずっと,"consecutively,throughout,a lot"
最も,もっとも,"most,extremely"
意外,いがい,"unexpected,surprising"
幅,はば,"width,breadth"
賞,しょう,"prize,award"
健康,けんこう,"health,sound,wholesome"
教師,きょうし,teacher (classroom)
外交,がいこう,diplomacy
終,おわり,the end
大会,たいかい,"convention,tournament,mass meeting,rally"
熱心,ねっしん,"zeal,enthusiasm"
伝統,でんとう,"tradition,convention"
話題,わだい,"topic,subject"
条件,じょうけん,"conditions,terms"
宅,たく,"house,home,husband"
,あした,tomorrow
親友,しんゆう,"close friend,buddy"
燃える,もえる,to burn
新た,あらた,"new,fresh,novel"
,ラケット,"paddle,racket"
皮,かわ,"skin,hide,leather,fur,pelt,bark,shell"
,ぼんやり,"absent-minded,block-head,dim,faint,vague"
騒音,そうおん,noise
硬い,かたい,"solid,hard (esp. metal, stone),unpolished writing"
世紀,せいき,"century,era"
文,ぶん,sentence
微妙,びみょう,"delicate,subtle"
語る,かたる,"to talk,to tell,to recite"
大気,たいき,atmosphere
気温,きおん,temperature
作品,さくひん,"work,opus,performance,production"
位,くらい,"grade,rank,about"
泳ぎ,およぎ,swimming
次第,しだい,"(1) order,precedence,(2) circumstances,(3) immediate(ly)"
現状,げんじょう,"present condition,existing state,status quo"
日付,ひづけ,"date,dating"
欠点,けってん,"faults,defect,weakness"
暗記,あんき,"memorization,learning by heart"
,それと,
増加,ぞうか,"increase,addition"
発明,はつめい,invention
値段,ねだん,"price,cost"
,ベンチ,bench
覆う,おおう,"to cover,to hide,to conceal,to wrap,to disguise"
戻す,もどす,"to restore,to put back,to return"
辛い,つらい,"painful,heart-breaking"
物質,ぶっしつ,"material,substance"
平均,へいきん,"equilibrium,balance,average,mean"
演奏,えんそう,musical performance
,グラス,"(1) glass,(2) grass"
,カード,"card,curd"
曇,くもり,"cloudiness,cloudy weather,shadow"
,どんなに,"how,how much"
様子,ようす,"aspect,state,appearance"
戦う,たたかう,"to fight,to battle,to combat"
菓子,かし,pastry
鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color"
勿論,もちろん,"of course,certainly,naturally"
居る,おる,"to be (animate),to be,to exist"
留める,とめる,"to fasten,to turn off,to detain"
掲示,けいじ,"notice,bulletin"
宝,たから,treasure
肩,かた,shoulder
出来るだけ,できるだけ,if at all possible
水準,すいじゅん,"(1) water level,(2) level,standard"
刀,かたな,"sword,saber,knife,engraving tool"
都市,とし,"town,city,municipal,urban"
田,た,rice field
唯,たった,"free of charge,mere,sole,only,usual,common"
,グランド,"gland,grand,(electrical) ground"
貯金,ちょきん,(bank) savings
以来,いらい,"since,henceforth"
投票,とうひょう,"voting,poll"
学者,がくしゃ,scholar
就職,しゅうしょく,"finding employment,inauguration"
正午,しょうご,"noon,mid-day"
放送,ほうそう,"broadcast,broadcasting"
生命,せいめい,"life,existence"
度,たび,counter for occurrences
典型,てんけい,"type,pattern,archetypal"
後,ご,"afterwards,since then,in the future"
欠ける,かける,to be lacking
是非,ぜひ,"certainly,without fail"
塔,とう,"tower,pagoda"
型,かた,"mold,model,style,shape,data-type"
,ビデオ,video
彼等,かれら,they (usually male)
発達,はったつ,"development,growth"
宿泊,しゅくはく,lodging
防ぐ,ふせぐ,"to defend (against),to protect,to prevent"
,やがて,"before long,soon,at length"
お昼,おひる,"lunch,noon"
,あんなに,"to that extent,to that degree"
,おめでとう,"Congratulations!,an auspicious occasion!"
相談,そうだん,"consultation,discussion"
,ありがとう,"(conj,exp,int) Thank you"
後者,こうしゃ,the latter
幸福,こうふく,"happiness,blessedness"
,にっこり,"smile sweetly,smile,grin"
対象,たいしょう,"target,object (of worship, study, etc),subject (of taxation, etc)"
残す,のこす,"to leave (behind, over),to bequeath,to save,to reserve"
何,なん,what
昇る,のぼる,"to arise,to ascend,to go up"
来,らい,",for (10 days),next (year)"
無視,むし,"disregard,ignore"
商人,しょうにん,"trader,shopkeeper,merchant"
入学,にゅうがく,"entry to school or university,matriculation"
跡,あと,"(1) trace,tracks,mark,sign,(2) remains,ruins,(3) scar"
製品,せいひん,"manufactured goods,finished goods"
馬,うま,"(1) horse,(2) promoted bishop (shogi)"
,たとえ,"simile,metaphor,allegory"
参加,さんか,participation
火災,かさい,"conflagration,fire"
,なぜなら,because
実に,じつに,"indeed,truly,surely"
否,いや,"no,the noes"
譲る,ゆずる,"to turn over,to assign,to hand over"
被害,ひがい,damage
芸術,げいじゅつ,"(fine) art,the arts"
違反,いはん,"violation (of law),transgression,infringement,breach"
金属,きんぞく,metal
奥,おく,"interior,inner part"
湾,わん,"bay,gulf,inlet"
備える,そなえる,"to furnish,to provide for,to equip,to install"
,ライター,"lighter,rider,writer"
含む,ふくむ,"to hold in the mouth,to bear in mind"
作曲,さっきょく,"composition,setting (of music)"
管,くだ,"pipe,tube"
食欲,しょくよく,appetite (for food)
,マーケット,market
動かす,うごかす,"to move,to shift"
臭い,くさい,"odour,scent,smell,stench"
勘定,かんじょう,"calculation,counting,consideration"
上京,じょうきょう,proceeding to the capital (Tokyo)
内容,ないよう,"subject,contents,matter,substance,detail,import"
野,の,field
床,ゆか,floor
特徴,とくちょう,"feature,characteristic"
笑い,わらい,"laugh,laughter,smile"
大家,おおや,"rich family,distinguished family"
うん,（感）,"fortune,luck"
刈る,かる,"to cut (hair),to mow (grass),to harvest"
丸,まる,"circle,full (month),perfection,purity,suffix for ship names"
御,お,honourable
国語,こくご,national language
我々,われわれ,we
地球,ちきゅう,the earth
毒,どく,"poison,toxicant"
用心,ようじん,"care,precaution,guarding,caution"
運,うん,"fortune,luck"
位置,いち,"place,situation,position,location"
文句,もんく,"phrase,complaint"
救う,すくう,"to rescue from,to help out of"
小麦,こむぎ,wheat
便,びん,"way,means"
暖かい,あたたか(い),"warm,mild"
空,から,sky
王,おう,"king,ruler,sovereign,monarch"
茶,ちゃ,tea
会員,かいいん,"member,the membership"
眺める,ながめる,"to view,to gaze at"
不満,ふまん,"dissatisfaction,displeasure,discontent,complaints,unhappiness"
完了,かんりょう,"completion,conclusion"
,さっぱり,"feeling refreshed,feeling relieved,neat,trimmed"
,なかなか,"very,considerably,easily"
木曜,もくよう,Thursday
上,かみ,"(1) first volume,(2) superior quality,(3) governmental"
魚,うお,fish
発見,はっけん,"discovery,detection,finding"
,いつでも,"(at) any time,always,at all times,never (neg)"
包み,つつみ,"bundle,package,parcel,bale"
内,うち,inside
普段,ふだん,"usually,habitually,ordinarily,always"
回,かい,counter for occurrences
他人,たにん,"another person,unrelated person,outsider,stranger"
,よい,"good,nice,pleasant,ok"
激しい,はげしい,"violent,vehement,intense"
付き合い,つきあい,"association,socializing,fellowship"
上達,じょうたつ,"improvement,advance,progress"
駐車,ちゅうしゃ,parking (e.g. car)
疑う,うたがう,"to doubt,to distrust,to be suspicious of,to suspect"
表情,ひょうじょう,facial expression
正式,せいしき,"due form,official,formality"
傾向,けいこう,"tendency,trend,inclination"
綿,めん,"cotton,padding"
必ずしも,かならずしも,"(not) always,(not) necessarily,(not) all,(not) entirely"
指す,さす,"to point,to put up umbrella,to play"
予算,よさん,"estimate,budget"
文字,もんじ,"letter (of alphabet),character"
想像,そうぞう,"imagination,guess"
会計,かいけい,"account,finance,accountant"
無,む,"nothing,naught,nil,zero"
表現,ひょうげん,"expression,presentation,representation (math)"
唯一,ゆいいつ,"only,sole,unique"
非常,ひじょう,"emergency,extraordinary,unusual"
招く,まねく,to invite
信号,しんごう,"traffic lights,signal,semaphore"
辺り,あたり,"vicinity,nearby"
世話,せわ,"looking after,help,aid,assistance"
全体,ぜんたい,"whole,entirety,whatever (is the matter)"
感動,かんどう,"being deeply moved,excitement,impression,deep emotion"
職,しょく,employment
学期,がっき,term (school)
針,はり,"needle,hand (e.g. clock)"
日本,にっぽん,Japan
軍隊,ぐんたい,"army,troops"
