Kanji,Hiragana,English
,いきなり,"(uk) abruptly,suddenly,all of a sudden,without warning"
広げる,ひろげる,"to spread,to extend,to expand,to enlarge"
話中,はなしちゅう,"while talking,the line is busy"
接近,せっきん,"getting closer,drawing nearer,approaching"
縮小,しゅくしょう,"reduction,curtailment"
薬指,くすりゆび,ring finger
治す,なおす,"to cure,to heal,to fix,to correct,to repair"
紙屑,かみくず,wastepaper
,スライド,slide
応ずる,おうずる,"to answer,to respond,to meet,to satisfy,to accept"
,ぜひとも,by all means (with sense of not taking no for an answer)
別々,べつべつ,"separately,individually"
群れ,むれ,"group,crowd,flock,herd"
冠,かんむり,"crown,diadem,first,best"
追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue"
原始,げんし,"origin,primeval"
,かるた,(n) playing cards (pt: carta)
手入れ,ていれ,"repairs,maintenance"
過失,かしつ,"error,blunder,accident"
空っぽ,からっぽ,"empty,vacant,hollow"
,マフラー,"muffler,scarf"
住居,じゅうきょ,"dwelling,house,residence,address"
性質,せいしつ,"nature,property,disposition"
牧場,ぼくじょう,"(1) farm (livestock),(2) pasture land,meadow,grazing land"
巻く,まく,"to wind,to coil,to roll"
潜る,もぐる,"(1) to drive,to pass through,(2) to evade,to hide,(3) to dive (into or under water),to go undergroun"
番地,ばんち,"house number,address"
包装,ほうそう,"packing,wrapping"
役所,やくしょ,"government office,public office"
間隔,かんかく,"space,interval,SPC"
成分,せいぶん,"ingredient,component,composition"
,へる,"to decrease (in size or number),to diminish,to abate"
倉庫,そうこ,"storehouse,warehouse,godown"
縮める,ちぢめる,"to shorten,to reduce,to boil down,to shrink"
注す,さす,"to pour (drink),to serve (drinks)"
縮む,ちぢむ,"to shrink,to be contracted"
味わう,あじわう,"to taste,to savor,to relish"
砕く,くだく,"to break,to smash"
,ハンドル,"handle,steering wheel"
殻,から,"shell,husk,hull,chaff"
削除,さくじょ,"elimination,cancellation,deletion,erasure"
講師,こうし,lecturer
努める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)"
蒔く,まく,to sow (seeds)
,あいかわらず,"as ever,as usual,the same"
相撲,すもう,sumo wrestling
応接,おうせつ,reception
組合せ,くみあわせ,combination
お参り,おまいり,"worship,shrine visit"
広々,ひろびろ,"extensive,spacious"
能率,のうりつ,efficiency
思い込む,おもいこむ,"to be under impression that,to be convinced that"
,オートメーション,automation
感激,かんげき,"deep emotion,impression,inspiration"
矛盾,むじゅん,"contradiction,inconsistency"
編む,あむ,to knit
重体,じゅうたい,"seriously ill,serious condition,critical state"
要領,ようりょう,"point,gist,essentials,outline"
強化,きょうか,"strengthen,intensify,reinforce,solidify"
長引く,ながびく,"to be prolonged,to drag on"
長方形,ちょうほうけい,"rectangle,oblong"
,パターン,pattern
曲線,きょくせん,curve
工芸,こうげい,industrial arts
,テーマ,"(n) theme,project,topic (de: Thema)"
破れる,やぶれる,"to get torn,to wear out"
落し物,おとしもの,lost property
実用,じつよう,"practical use,utility"
死体,したい,corpse
行事,ぎょうじ,"event,function"
俳句,はいく,haiku poetry
信ずる,しんずる,"to believe,to believe in,to place trust in"
給与,きゅうよ,"allowance,grant,supply"
,みじめ,"(arch) sad,pitiful,wretched"
焦点,しょうてん,"focus,point"
水平線,すいへいせん,horizon
,ストッキング,stockings
終点,しゅうてん,"terminus,last stop (e.g train)"
儲ける,もうける,"to get,to earn,to gain,to have (bear, beget) a child"
編物,あみもの,"knitting,web"
釘,くぎ,nail
役目,やくめ,"duty,business"
真っ青,まっさお,"deep blue,ghastly pale"
整数,せいすう,integer
,こちらこそ,it is I who should say so
上下,じょうげ,"high and low,up and down,unloading and loading,praising and blaming"
重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat"
溜まる,たまる,"to collect,to gather,to save"
若々しい,わかわかしい,"youthful,young"
消防署,しょうぼうしょ,fire station
,もたれる,"to lean against,to lean on,to recline on,to lie heavy (on the stomach)"
交ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join"
,コンクール,contest (fr: concours)
掛け算,かけざん,multiplication
秤,はかり,"scales,weighing machine"
錆,さび,rust (colour)
開放,かいほう,"open,throw open,liberalization"
体積,たいせき,"capacity,volume"
工夫,くふう,"labourer,worker"
見学,けんがく,"inspection,study by observation,field trip"
理科,りか,science
寮,りょう,"hostel,dormitory"
合同,ごうどう,"combination,incorporation,union,amalgamation"
言い付ける,いいつける,"to tell,to tell on (someone),to order"
,あくび,yawn
,レジャー,leisure
,おくさん,"(hon) wife,your wife,madam"
一応,いちおう,"once,tentatively,in outline,for the time being"
片仮名,かたかな,katakana
卑怯,ひきょう,"cowardice,meanness,unfairness"
消極的,しょうきょくてき,passive
,カバー,cover (ex. book)
,ひゃっかじてん,encyclopedia
塩辛い,しおからい,salty (taste)
商店,しょうてん,"shop,business firm"
夕立,ゆうだち,(sudden) evening shower (rain)
着ける,つける,"(1) to attach,to join,to add,to append"
,あたりまえ,"usual,common,ordinary"
洒落,しゃれ,"joke,pun,witticism"
割と,わりと,"relatively, comparitively"
匙,さじ,spoon
引分け,ひきわけ,"a draw (in competition),tie game"
,エプロン,apron
民謡,みんよう,"folk song,popular song"
相互,そうご,"mutual,reciprocal"
,ミシン,sewing machine
何分,なにぶん,"what minute?,how many minutes?"
毎度,まいど,"each time,common service-sector greeting"
,あげる (=やる),to do for
回転,かいてん,"rotation,revolution,turning"
消耗,しょうもう,"exhaustion,consumption"
文献,ぶんけん,"literature,books (reference)"
炊く,たく,"to boil,to cook"
発想,はっそう,"expression (music),conceptualization"
性別,せいべつ,"distinction by sex,sex,gender"
中年,ちゅうねん,middle-aged
歯磨き,はみがき,"dentifrice,toothpaste"
浮く,うく,"to float,to become merry,to become loose"
傾く,かたむく,"to incline toward,to slant,to lurch"
,へそ,"navel,belly-button"
投書,とうしょ,"letter to the editor,letter from a reader,contribution"
農薬,のうやく,agricultural chemicals
超す,こす,"to cross,to pass,to tide over"
溜息,ためいき,a sigh
床の間,とこのま,alcove
直前,ちょくぜん,just before
低下,ていか,"fall,decline,lowering,deterioration"
再来月,さらいげつ,month after next
合流,ごうりゅう,"confluence,union,linking up,merge"
粗い,あらい,"coarse,rough"
,インタビュー,interview
頂点,ちょうてん,"top,summit"
地帯,ちたい,"area,zone"
御手洗,おてあらい,font of purifying water placed at entrance of shrine
交流,こうりゅう,"alternating current,intercourse,(cultural) exchange,intermingling"
研修,けんしゅう,training
引っ込む,ひっこむ,"to draw back,to sink,to cave in"
燃やす,もやす,to burn
,あちらこちら,here and there
茶碗,ちゃわん,"rice bowl,tea cup,teacup"
原稿,げんこう,"manuscript,copy"
評論,ひょうろん,"criticism,critique"
間接,かんせつ,"indirection,indirectness"
区分,くぶん,"division,section,classification"
裏返す,うらがえす,"to turn inside out,to turn (something) over"
,おかず,"side dish,accompaniment for rice dishes"
名作,めいさく,masterpiece
作製,さくせい,manufacture
催し,もよおし,"event,festivities,function"
三角,さんかく,"triangle,triangular"
流域,りゅういき,(river) basin
流石,さすが,"clever,adept,good,expectations,as one would expect"
出入口,でいりぐち,exit and entrance
家主,やぬし,landlord
退ける,どける,"to remove,to take away,to dislodge,to put something out of the way"
国立,こくりつ,national
坊や,ぼうや,boy
着替え,きがえ,"changing clothes,change of clothes"
退く,どく,"(1) to retreat,to recede,to withdraw"
上り,のぼり,"up-train (going to Tokyo),ascent"
漸く,ようやく,"gradually,finally,hardly"
這う,はう,"to creep,to crawl"
討つ,うつ,"to attack,to avenge"
始終,しじゅう,"continuously,from beginning to end"
足跡,あしあと,footprints
集会,しゅうかい,"meeting,assembly"
元々,もともと,"originally,by nature,from the start"
平野,へいや,"plain,open field"
灯油,とうゆ,"lamp oil,kerosene"
言葉遣い,ことばづかい,"speech,expression,wording"
しいんと,（する）,"silent (as the grave),(deathly) quiet"
副詞,ふくし,adverb
記号,きごう,"symbol,code"
湿気,しっき,"moisture,humidity,dampness"
納める,おさめる,"to obtain,to reap,to pay,to supply,to accept"
,からかう,"to ridicule,to tease,to banter with,to make fun of"
窓口,まどぐち,ticket window
加速,かそく,acceleration
胡椒,こしょう,pepper
弱点,じゃくてん,"weak point,weakness"
詰まる,つまる,"to be blocked,to be packed"
通貨,つうか,currency
敬語,けいご,"honorific,term of respect"
災難,さいなん,"calamity,misfortune"
,あふれる,"to flood,to overflow,to brim over"
恨む,うらむ,"to curse,to feel bitter"
仮定,かてい,"assumption,supposition,hypothesis"
,トレーニング,training
,タイア,"tire,tyre"
恋しい,こいしい,"(1) dear,beloved,darling,(2) yearned for"
往復,おうふく,"(col) round trip,coming and going,return ticket"
油断,ゆだん,"negligence,unpreparedness"
,はじめまして,"How do you do?,I am glad to meet you"
意義,いぎ,"meaning,significance"
垂直,すいちょく,"vertical,perpendicular"
,くしゃみ,sneeze
悔しい,くやしい,"regrettable,mortifying,vexing"
姓,せい,"surname,family name"
伝記,でんき,"biography,life story"
子孫,しそん,"descendants,posterity,offspring"
,プリント,"print,handout"
意地悪,いじわる,"malicious,ill-tempered,unkind"
神話,しんわ,"myth,legend"
直後,ちょくご,immediately following
住まい,すまい,"dwelling,house,residence,address"
海水浴,かいすいよく,"sea bathing,seawater bath"
,ついで,"opportunity,occasion"
高度,こうど,"altitude,height,advanced"
挙げる,あげる,"to raise,to fly"
醤油,しょうゆ,soy sauce
慰める,なぐさめる,"to comfort,to console"
取り出す,とりだす,"to take out,to produce,to pick out"
退院,たいいん,leaving hospital
直線,ちょくせん,straight line
怪しい,あやしい,"suspicious,dubious,doubtful"
青少年,せいしょうねん,"youth,young person"
目覚し,めざまし,(abbr) alarm-clock
下線,かせん,"underline,underscore"
見掛け,みかけ,outward appearance
枯れる,かれる,"to wither,to die (plant),to be blasted (plant)"
快晴,かいせい,good weather
箸,はし,chopsticks
感想,かんそう,"impressions,thoughts"
月末,げつまつ,end of the month
差し引き,さしひき,"deduction,subtraction,balance,ebb and flow,rise and fall"
濡らす,ぬらす,"to wet,to soak,to dip"
代える,かえる,"to exchange,to interchange,to substitute,to replace"
,もしかすると,"perhaps,maybe,by some chance"
車輪,しゃりん,(car) wheel
鐘,かね,"bell,chime"
展開,てんかい,"develop,expansion (opposite of compression)"
断水,だんすい,water outage
散らかす,ちらかす,"to scatter around,to leave untidy"
飢える,うえる,to starve
店屋,みせや,"store,shop"
塊,かたまり,"lump,mass,clod,cluster"
車掌,しゃしょう,(train) conductor
解答,かいとう,"answer,solution"
迷信,めいしん,superstition
落第,らくだい,"failure,dropping out of a class"
幾分,いくぶん,somewhat
判事,はんじ,"judge,judiciary"
嗅ぐ,かぐ,"to sniff,to smell"
高層,こうそう,upper
,レクリェーション,recreation
,マイナス,minus
干す,ほす,"to air,to dry,to desiccate,to drain (off),to drink up"
接続,せつぞく,"(1) connection,union,join,link,(2) changing trains"
電力,でんりょく,electric power
集合,しゅうごう,"gathering,assembly,meeting,set (math)"
中味,なかみ,"contents,interior,substance,filling,(sword) blade"
妨げる,さまたげる,"to disturb,to prevent"
下水,げすい,"drainage,sewage,ditch,gutter,sewerage"
次ぐ,つぐ,"to rank next to,to come after"
停電,ていでん,failure of electricity
四つ角,よつかど,"four corners,crossroads"
危うい,あやうい,"dangerous,critical,grave"
清書,せいしょ,clean copy
,おととし,year before last
開通,かいつう,"opening,open"
,すれちがう,"to pass by one another,to disagree"
,カラー,"collar,color,colour"
解散,かいさん,"breakup,dissolution"
日の入り,ひのいり,sunset
話合い,はなしあい,"discussion,conference"
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice"
再三,さいさん,"again and again,repeatedly"
方程式,ほうていしき,equation
撒く,まく,"to scatter,to sprinkle,to sow"
免税,めんぜい,"tax exemption,duty exemption"
確率,かくりつ,probability
学力,がくりょく,"scholarship,knowledge,literary ability"
手拭い,てぬぐい,(hand) towel
下降,かこう,"downward,descent,fall,drop,subsidence"
改造,かいぞう,"(1) remodeling,(2) modding (comp)"
電流,でんりゅう,electric current
原理,げんり,"principle,theory,fundamental truth"
,しっぽ,tail (animal)
裂く,さく,"to tear,to split"
社会科学,しゃかいかがく,social science
,こしらえる,"to make,to manufacture"
深まる,ふかまる,"to deepen,to heighten,to intensify"
仲直り,なかなおり,"reconciliation,make peace with"
,あわただしい,"busy,hurried,confused,flurried"
失恋,しつれん,"disappointed love,broken heart,unrequited love,be lovelorn"
農産物,のうさんぶつ,agricultural produce
濃度,のうど,"concentration,brightness"
脂,あぶら,"fat,tallow,lard"
剃刀,かみそり,razor
溶く,とく,to dissolve (paint)
,ごくろうさま,Thank you very much for your....
無限,むげん,infinite
囁く,ささやく,"to whisper,to murmur"
受験,じゅけん,taking an examination
応援,おうえん,"aid,assistance,help,reinforcement"
観念,かんねん,"(1) idea,notion,conception,(2) sense (e.g. of duty)"
湿る,しめる,"to be wet,to become wet,to be damp"
虹,にじ,rainbow
光線,こうせん,"beam,light ray"
損得,そんとく,"loss and gain,advantage and disadvantage"
口実,こうじつ,excuse
引算,ひきざん,subtraction
,ダブル,double
伝染,でんせん,contagion
湯気,ゆげ,"steam,vapour"
恵まれる,めぐまれる,"to be blessed with,to be rich in"
拝見,はいけん,"(hum) (pol) seeing,look at"
儀式,ぎしき,"ceremony,rite,ritual,service"
論ずる,ろんずる,"to argue,to discuss,to debate"
和服,わふく,Japanese clothes
定規,じょうぎ,(measuring) ruler
鈍い,のろい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid"
五十音,ごじゅうおん,the Japanese syllabary
,ジャーナリスト,journalist
筆者,ひっしゃ,"writer,author"
相違,そうい,"difference,discrepancy,variation"
,サラリーマン,"salary man,company employee"
役人,やくにん,government official
噴火,ふんか,eruption
,ボーナス,bonus
,くるむ,"to be engulfed in,to be enveloped by,to wrap up"
襖,ふすま,sliding screen
盛る,もる,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe"
重なる,かさなる,"to be piled up,lie on top of one another,overlap each other"
,そのうえ,"in addition,furthermore"
大木,たいぼく,large tree
名字,みょうじ,"surname,family name"
防止,ぼうし,"prevention,check"
,つまずく,"to stumble,to trip"
脱線,だっせん,"derailment,digression"
葬式,そうしき,funeral
,しみじみ,"keenly,deeply,heartily"
大層,たいそう,"very much,exaggerated,very fine"
生年月日,せいねんがっぴ,birth date
組み立てる,くみたてる,"to assemble,to set up,to construct"
先祖,せんぞ,ancestor
,ラッシュアワー,rush hour
担ぐ,かつぐ,"to shoulder,to carry on shoulder"
速力,そくりょく,speed
図鑑,ずかん,picture book
曲げる,まげる,"to bend,to crook,to lean"
商社,しょうしゃ,"trading company,firm"
助教授,じょきょうじゅ,assistant professor
拝む,おがむ,"to worship,to beg,to make a supplication"
凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed"
放れる,はなれる,"to leave,to get free,to cut oneself off"
粒,つぶ,grain
磁石,じしゃく,magnet
憎らしい,にくらしい,"odious,hateful"
強引,ごういん,"overbearing,coercive,pushy,forcible,high-handed"
口紅,くちべに,lipstick
櫛,くし,comb
会館,かいかん,"meeting hall,assembly hall"
不規則,ふきそく,"irregularity,unsteadiness,disorderly"
灰色,はいいろ,"grey,gray,ashen"
方面,ほうめん,"direction,district,field (e.g., of study)"
図表,ずひょう,"chart,diagram,graph"
跳ぶ,とぶ,"to jump,to fly,to leap"
引っ掛かる,ひっかかる,"to be caught in,to be stuck in,to be cheated"
関東,かんとう,"eastern half of Japan, including Tokyo"
速達,そくたつ,"express,special delivery"
物差し,ものさし,"ruler,measure"
命ずる,めいずる,"to command,to appoint"
格別,かくべつ,exceptional
混ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join"
留まる,とどまる,"(1) to be fixed,(2) to abide,to stay (in the one place)"
自衛,じえい,self-defense
,テンポ,tempo
過程,かてい,process
測る,はかる,"to measure,to weigh,to survey"
慶び,よろこび,"(n) (a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations"
欄,らん,column of text (e.g. as in a newspaper)
肯定,こうてい,"positive,affirmation"
入れ物,いれもの,"container,case,receptacle"
薄暗い,うすぐらい,"dim,gloomy"
下書き,したがき,"rough copy,draft"
,ごめんください,May I come in?
,すまない,sorry (phrase)
例外,れいがい,exception
背負う,せおう,"to be burdened with,to carry on back or shoulder"
見出し,みだし,"heading,caption,subtitle,index"
蘇る,よみがえる,"to be resurrected,to be revived,to be resuscitated,to be rehabilitated"
,どなる,"to shout,to yell"
付合う,つきあう,"to associate with,to keep company with,to get on with"
回数,かいすう,"number of times,frequency"
繋がる,つながる,"to be tied together,to be connected to,to be related to"
,ふざける,"to romp,to gambol,to frolic,to joke"
半径,はんけい,radius
,しびれる,"to become numb,to go to sleep (i.e., a limb)"
生意気,なまいき,"impertinent,saucy,cheeky,conceit,audacious,brazen"
例える,たとえる,"to compare,to liken,to speak figuratively,to illustrate,to use a simile"
感ずる,かんずる,"to feel,to sense"
,シーズン,season (sporting)
気体,きたい,"vapour,gas"
噴水,ふんすい,water fountain
通路,つうろ,"passage,pathway"
凍える,こごえる,"to freeze,to be chilled,to be frozen"
通知,つうち,"notice,notification"
追加,ついか,"addition,supplement,appendix"
図形,ずけい,figure
,そういえば,which reminds me ..
通用,つうよう,"popular use,circulation"
純情,じゅんじょう,"pure heart,naivete,self-sacrificing devotion"
末っ子,すえっこ,youngest child
政党,せいとう,(member of) political party
照らす,てらす,"to shine on,to illuminate"
踏切,ふみきり,"railway crossing,level crossing,starting line,scratch,crossover"
採点,さいてん,"marking,grading,looking over"
単数,たんすう,singular (number)
海洋,かいよう,ocean
受け持つ,うけもつ,to take (be in) charge of
申請,しんせい,"application,request,petition"
附属,ふぞく,"attached,belonging,affiliated"
独り言,ひとりごと,"a soliloquy,a monologue,speaking to oneself"
点々,てんてん,"here and there,little by little"
,さわやか,"fresh,refreshing,invigorating"
,たちまち,"at once,in a moment,suddenly,all at once"
中指,なかゆび,middle finger
,リズム,rhythm
制作,せいさく,"work (film, book)"
,しつこい,"insistent,obstinate"
請う,こう,"to ask,to request"
Ͼ立,たいりつ,"confrontation,opposition,antagonism"
貸間,かしま,room to let
,こっそり,"stealthily,secretly"
姿勢,しせい,"attitude,posture"
,あてはめる,"to apply,to adapt"
社説,しゃせつ,"editorial,leading article"
係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)"
形容動詞,けいようどうし,"adjectival noun,quasi-adjective"
学部,がくぶ,"department of a university,undergraduate"
主役,しゅやく,"leading part,leading actor (actress)"
載る,のる,"to appear (in print),to be recorded"
標本,ひょうほん,"example,specimen"
続々,ぞくぞく,"successively,one after another"
夕刊,ゆうかん,evening paper
刺身,さしみ,sliced raw fish
木材,もくざい,"lumber,timber,wood"
頭脳,ずのう,"head,brains,intellect"
調整,ちょうせい,"regulation,adjustment,tuning"
在学,ざいがく,(enrolled) in school
見送る,みおくる,"(1) to see off,to farewell,(2) to escort,(3) to let pass"
混ぜる,まぜる,"to mix,to stir"
工事,こうじ,construction work
過剰,かじょう,"excess,over-"
改めて,あらためて,"another time,again,over again,anew,formally"
紺,こん,"navy blue,deep blue"
肌着,はだぎ,underwear
騒々しい,そうぞうしい,"noisy,boisterous"
重役,じゅうやく,"director,high executive"
,ピストル,pistol
指定,してい,"designation,specification,assignment,pointing at"
羨ましい,うらやましい,"envious,enviable"
半島,はんとう,peninsula
体系,たいけい,"system,organization"
甚だしい,はなはだしい,"extreme,excessive,terrible"
個体,こたい,an individual
人造,じんぞう,"man-made,synthetic,artificial"
塵紙,ちりがみ,"tissue paper,toilet paper"
早速,さっそく,"at once,immediately,without delay,promptly"
水平,すいへい,"water level,horizon"
以後,いご,"after this,from now on,hereafter,thereafter"
不潔,ふけつ,"unclean,dirty,filthy,impure"
,ブラウス,blouse
揉む,もむ,"to rub,to crumple (up),to wrinkle"
薬局,やっきょく,"pharmacy,drugstore"
書留,かきとめ,"writing down,putting on record,recording,making a note of,registration (of mail)"
溶岩,ようがん,lava
爪,つめ,"fingernail or toenail,claw,talon,hoof"
,コック,"(1) cook (nl:),(2) tap,spigot,faucet,cock"
目次,もくじ,table of contents
欲張り,よくばり,"avarice,covetousness,greed"
,シリーズ,series
各々,おのおの,"each,every,either,respectively,severally"
屑,くず,"waste,scrap"
敬う,うやまう,"to show respect,to honour"
発揮,はっき,"exhibition,demonstration,utilization,display"
重点,じゅうてん,"important point,lay stress on,colon,emphasis"
名詞,めいし,noun
項目,こうもく,item
,あわてる,to become confused
混じる,まじる,"to be mixed,to be blended with,to associate with"
皮膚,ひふ,skin
強気,つよき,"firm,strong"
遡る,さかのぼる,"to go back,to go upstream,to make retroactive"
体制,たいせい,"order,system,structure,set-up,organization"
出迎える,でむかえる,"to meet,to greet"
,すっぱい,"sour,acid"
,めでたい,"happy,simple soul,propitious,joyous"
時間割,じかんわり,"timetable,schedule"
線路,せんろ,"line,track,roadbed"
逸れる,それる,"to stray (turn) from subject,to get lost,to go astray"
貯蔵,ちょぞう,"storage,preservation"
,みっともない,"shameful,indecent"
小学生,しょうがくせい,grade school student
,レインコート,raincoat
竹,たけ,"bamboo,middle (of a three-tier ranking system)"
包帯,ほうたい,"bandage,dressing"
短期,たんき,short term
栓,せん,"stopper,cork,stopcock"
艶,つや,"gloss,glaze"
,しぼむ,"to wither,to fade (away),to shrivel,to wilt"
飾り,かざり,decoration
平気,へいき,"coolness,calmness,composure,unconcern"
透き通る,すきとおる,to be(come) transparent
探る,さぐる,"to search,to look for,to sound out"
,さきおととい,two days before yesterday
謙虚,けんきょ,"modesty,humility"
苦情,くじょう,"complaint,troubles,objection"
締め切る,しめきる,to shut up
俄,にわか,"sudden,abrupt,unexpected,improvised,offhand"
,しゃがむ,to squat
彫刻,ちょうこく,"carving,engraving,sculpture"
製作,せいさく,"manufacture,production"
太鼓,たいこ,"drum,tambourine"
鈍い,にぶい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid"
蚊,か,mosquito
麓,ふもと,"the foot,the bottom,the base (of a mountain)"
測定,そくてい,measurement
行列,ぎょうれつ,"(1) line,procession,(2) matrix (math)"
国籍,こくせき,nationality
祝日,しゅくじつ,national holiday
発売,はつばい,sale
,オイル,"oil,engine oil,kerosene"
裏口,うらぐち,"backdoor,rear entrance"
迫る,せまる,"to draw near,to press"
薄める,うすめる,"to dilute,to water down"
厚かましい,あつかましい,"impudent,shameless,brazen"
欧米,おうべい,"Europe and America,the West"
先々月,せんせんげつ,month before last
先頭,せんとう,"head,lead,vanguard,first"
助かる,たすかる,"to be saved,to be rescued,to survive,to be helpful"
転がる,ころがる,"to roll,to tumble"
ミリ,（メートル）,"milli-,10^-3"
亡くす,なくす,"to lose someone, wife, child, etc"
地下水,ちかすい,underground water
涼む,すずむ,"to cool oneself,to cool off,to enjoy evening cool"
別荘,べっそう,"holiday house,villa"
素質,そしつ,"character,qualities,genius"
割算,わりざん,division (math)
気圧,きあつ,atmospheric pressure
,ギャング,gang
溜める,ためる,"to amass,to accumulate"
清い,きよい,"clear,pure,noble"
,プラスチック,plastic
寺院,じいん,temple
食器,しょっき,tableware
差し支え,さしつかえ,"hindrance,impediment"
毛皮,けがわ,"fur,skin,pelt"
,さっさと,quickly
児童,じどう,"children,juvenile"
紅葉,こうよう,(1) (Japanese) maple
漁師,りょうし,fisherman
幼稚園,ようちえん,kindergarten
片付く,かたづく,"to put in order,to dispose of,to solve"
拡張,かくちょう,"expansion,extension,enlargement,escape (ESC)"
針金,はりがね,wire
風船,ふうせん,balloon
発つ,たつ,"to depart (on a plane, train, etc.)"
,どうぞよろしく,pleased to meet you
容積,ようせき,"capacity,volume"
好き嫌い,すききらい,"likes and dislikes,taste"
腰掛け,こしかけ,"seat,bench"
,そうして,"and,like that"
生き生き,いきいき,"vividly,lively"
目安,めやす,"criterion,aim"
佚,いつ,"be lost,peace,hide,mistake,beautiful,in turn"
符号,ふごう,"sign,mark,symbol"
瀬戸物,せともの,"earthenware,crockery,china"
水素,すいそ,hydrogen
書取,かきとり,dictation
盆地,ぼんち,basin (e.g. between mountains)
上級,じょうきゅう,"advanced level,high grade,senior"
修繕,しゅうぜん,"repair,mending"
琴,こと,Koto (Japanese harp)
大凡,おおよそ,"about,roughly,as a rule,approximately"
応対,おうたい,"receiving,dealing with"
偶数,ぐうすう,even number
交差,こうさ,cross
威張る,いばる,"to be proud,to swagger"
,ぺん,pen
三日月,みかづき,"new moon,crescent moon"
滝,たき,waterfall
,おはよう,(abbr) Good morning
憎む,にくむ,"to hate,to detest"
,ウエートレス,waitress
通訳,つうやく,interpretation
筆記,ひっき,"(taking) notes,copying"
登場,とうじょう,entry (on stage)
衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)"
自然科学,しぜんかがく,natural science
薬品,やくひん,"medicine(s),chemical(s)"
厳重,げんじゅう,"strict,rigour,severe,firm"
県庁,けんちょう,prefectural office
洋品店,ようひんてん,shop which handles Western-style apparel and accessories
重たい,おもたい,"heavy,massive,serious"
交ぜる,まぜる,"to be mixed,to be blended with"
,いよいよ,"more and more,all the more,increasingly,at last,beyond doubt"
,いちいち,"one by one,separately"
力強い,ちからづよい,"reassuring,emboldened"
刻む,きざむ,"to mince,to carve,to engrave"
余る,あまる,"to remain,to be left over,to be in excess,to be too many"
等分,とうぶん,division into equal parts
基礎,きそ,"foundation,basis"
,そそっかしい,"careless,thoughtless"
,モーター,motor
近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with"
兵隊,へいたい,"soldier,sailor"
存じる,ぞんじる,(hum) to know
基準,きじゅん,"standard,basis,criteria,norm"
植木,うえき,"garden shrubs,trees,potted plant"
狡い,ずるい,"sly,cunning"
算数,さんすう,arithmetic
日課,にっか,"daily lesson,daily work,daily routine"
,まぶしい,"dazzling,radiant"
明き,あき,"room,time to spare,emptiness"
深夜,しんや,late at night
羽根,はね,shuttlecock
手前,てまえ,"before,this side,we,you"
地質,ちしつ,geological features
渇く,かわく,to be thirsty
載せる,のせる,"to place on (something),to take on board,to give a ride"
夕日,ゆうひ,"(in) the evening sun,setting sun"
後輩,こうはい,junior (at work or school)
坊っちゃん,ぼっちゃん,son (of others)
払い戻す,はらいもどす,"to repay,to pay back"
仮名,かな,"(n) alias,pseudonym,pen name"
却って,かえって,"on the contrary,rather,all the more,instead"
一斉,いっせい,"simultaneous,all at once"
便所,べんじょ,"toilet,lavatory,rest room,latrine,comfort station"
日日,ひにち,"every day,daily,day after day"
献立,こんだて,"menu,program,schedule"
花火,はなび,fireworks
,バック,back
膨らます,ふくらます,"to swell,to expand,to inflate,to bulge"
,うろうろ,"loiteringly,aimless wandering"
,なにしろ,"at any rate,anyhow,anyway,in any case"
巡査,じゅんさ,"police,policeman"
出来上がり,できあがり,"be finished,ready,made for,cut out"
何々,なになに,"such and such,What?"
,ピンク,pink
連合,れんごう,"union,alliance"
特売,とくばい,special sale
私立,しりつ,private (establishment)
,バンド,band
録音,ろくおん,(audio) recording
休講,きゅうこう,lecture cancelled
,リボン,ribbon
羊毛,ようもう,wool
,ショップ,a shop
,スチュワーデス,stewardess
摩擦,まさつ,"friction,rubbing,rubdown,chafe"
天皇,てんのう,Emperor of Japan
増大,ぞうだい,enlargement
実力,じつりょく,"merit,efficiency,arms,force"
,サイレン,siren
募集,ぼしゅう,"recruiting,taking applications"
絶えず,たえず,constantly
待合室,まちあいしつ,waiting room
,ランチ,"launch,lunch"
好き好き,すきずき,matter of taste
大分,だいぶん,"considerably,greatly,a lot"
自習,じしゅう,self-study
見舞う,みまう,"to ask after (health),to visit"
捻る,ひねる,"to turn (a switch) on or off,to twist,to puzzle over"
輸血,ゆけつ,blood transfusion
書道,しょどう,calligraphy
素人,しろうと,"amateur,novice"
看病,かんびょう,nursing (a patient)
,あれこれ,"one thing or another,this and that,this or that"
学科,がっか,"study subject,course of study"
形容詞,けいようし,true adjective
