Kanji,Hiragana,English
同,どう,"the same, the said, ibid."
,スチーム,steam
了解,りょうかい,"comprehension, consent, understanding, roger (on the radio)"
私物,しぶつ,"private property, personal effects"
早める,はやめる,"to hasten, to quicken, to expedite, to precipitate, to accelerate"
富む,とむ,"to be rich, to become rich"
生まれつき,うまれつき,"by nature, by birth, native"
末期,まっき,"closing years (period days), last stage"
国境,くにざかい,national or state border
未婚,みこん,unmarried
計器,けいき,"meter, gauge"
救援,きゅうえん,"relief, rescue, reinforcement"
鬱陶しい,うっとうしい,"gloomy, depressing"
華やか,はなやか,"gay, showy, brilliant, gorgeous, florid"
率直,そっちょく,"frankness, candour, openheartedness"
教職,きょうしょく,"teaching certificate, the teaching profession"
其れに,それに,"besides, moreover"
組み込む,くみこむ,"to insert, to include, to cut in (printing)"
痒い,かゆい,"itchy, itching"
,なんだかんだ,something or other
配布,はいふ,distribution
余地,よち,"place, room, margin, scope"
煽てる,おだてる,"to stir up, to instigate, to flatter"
大部,たいぶ,"most (e.g. most part), greater, fairly, a good deal, much"
先に,さきに,"before, earlier than, ahead, beyond, away, previously, recently"
掻き回す,かきまわす,"to stir up, to churn, to ransack, to disturb"
不審,ふしん,"incomplete understanding, doubt, question, distrust, suspicion, strangeness, infidelity"
滞る,とどこおる,"to stagnate, to be delayed"
財源,ざいげん,"source of funds, resources, finances"
詫び,わび,apology
反り,そり,"warp, curvature, curve, arch"
痛める,いためる,"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over"
強制,きょうせい,"obligation, coercion, compulsion, enforcement"
切り替える,きりかえる,"to change, to exchange, to convert, to renew, to throw a switch, to replace, to switch over"
寒気,かんき,"cold, frost, chill"
演出,えんしゅつ,"production (e.g. play), direction"
死刑,しけい,"death penalty, capital punishment"
初耳,はつみみ,something heard for the first time
姉妹,きょうだい,sisters
篭る,こもる,"to seclude oneself, to be confined in, to be implied, to be stuffy"
初,はつ,"first, new"
,ぐっと,"firmly, fast, much, more"
にも拘らず,にもかかわらず,"in spite of, nevertheless"
経費,けいひ,"expenses, cost, outlay"
覚え,おぼえ,"memory, sense, experience"
鮮やか,あざやか,"vivid, clear, brilliant"
明瞭,めいりょう,clarity
灰,あく,puckery juice
浮かぶ,うかぶ,"to float, to rise to surface, to come to mind"
,てっきり,"surely, certainly, beyond doubt"
根拠,こんきょ,"basis, foundation"
見逃す,みのがす,"to miss, to overlook, to leave at large"
一別,いちべつ,parting
等,とう,"et cetera, etc., and the like"
流行,はやり,"fashionable, fad, in vogue, prevailing"
荷造り,にづくり,"packing, baling, crating"
踵,かかと,(shoe) heel
健在,けんざい,"in good health, well"
判決,はんけつ,"judicial decision, judgement, sentence, decree"
是正,ぜせい,"correction, revision"
洒落る,しゃれる,"to joke, to play on words, to dress stylishly"
悉く,ことごとく,"altogether, entirely"
予感,よかん,"presentiment, premonition"
方式,ほうしき,"form, method, system"
重んずる,おもんずる,"to honor, to respect, to esteem, to prize"
雌,めす,female (animal)
控室,ひかえしつ,waiting room
女子,おなご,"woman, girl"
取り除く,とりのぞく,"to remove, to take away, to set apart"
賄う,まかなう,"to give board to, to provide meals, to pay"
奉る,たてまつる,"to offer, to present, to revere, to do respectfully"
果たす,はたす,"to accomplish, to fulfill, to carry out, to achieve"
畜産,ちくさん,animal husbandry
感慨,かんがい,"strong feelings, deep emotion"
沿岸,えんがん,"coast, shore"
私有,しゆう,private ownership
兎も角,ともかく,"anyhow, anyway, somehow or other, generally speaking, in any case"
御免ください,ごめんください,May I come in?
行い,おこない,"deed, conduct, behavior, action, asceticism"
何時も,いつも,"always, usually, every time, never (with neg. verb)"
達者,たっしゃ,"skillful, in good health"
瞑る,つぶる,to close the eyes
上下,うえした,"high and low, up and down, unloading and loading, praising and blaming"
元年,がんねん,first year (of a specific reign)
何だか,なんだか,"a little, somewhat, somehow"
,バッジ,badge
有力,ゆうりょく,"1. influence, prominence, 2. potent"
偏見,へんけん,"prejudice, narrow view"
手本,てほん,"model, pattern"
容易い,たやすい,"easy, simple, light"
経歴,けいれき,"personal history, career"
新人,しんじん,"new face, newcomer"
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch, to have a smattering of"
国連,こくれん,"U.N., United Nations"
反応,はんのう,"reaction, response"
砂利,じゃり,"gravel, ballast, pebbles"
慣れ,なれ,"practice, experience"
無駄遣い,むだづかい,"waste money on, squander money on, flog a dead horse"
課題,かだい,"subject, theme, task"
盾,たて,"shield, buckler, escutcheon, pretext"
碌な,ろくな,"satisfactory, decent"
一同,いちどう,"all present, all concerned, all of us"
首輪,くびわ,"necklace, choker"
運営,うんえい,"management, administration, operation"
籤引,くじびき,"lottery, drawn lot"
,だらけ,implying (negatively) that something is full of e.g. mistakes
収集,しゅうしゅう,"gathering up, collection, accumulation"
負担,ふたん,"burden, charge, responsibility"
辿り着く,たどりつく,"to grope along to, to struggle on to, to arrive somewhere after a struggle"
合成,ごうせい,"synthesis, composition, synthetic, composite, mixed, combined, compound"
,クレーン,crane
お蔭様で,おかげさまで,"Thanks to god, thanks to you"
,キャッチ,catch
山岳,さんがく,mountains
梯子,ていし,"ladder, stairs"
行き成り,いきなり,suddenly
正に,まさに,"correctly, surely"
養護,ようご,"protection, nursing, protective care"
利息,りそく,interest (bank)
盛装,せいそう,"be dressed up, wear rich clothes"
雑,ざつ,"rough, crude"
本能,ほんのう,instinct
多忙,たぼう,"busy, pressure of work"
鉄鋼,てっこう,iron and steel
専用,せんよう,"exclusive use, personal use"
募る,つのる,"to invite, to solicit help participation etc"
心細い,こころぼそい,"helpless, forlorn, hopeless, unpromising, lonely, discouraging, disheartening"
類似,るいじ,analogous
処罰,しょばつ,punishment
倒産,とうさん,"(corporate) bankruptcy, insolvency"
厳密,げんみつ,"strict, close"
負かす,まかす,to defeat
上がり,あがり,"1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after"
途上,とじょう,"en route, half way"
新築,しんちく,"new building, new construction"
版画,はんが,art print
協調,きょうちょう,"co-operation, conciliation, harmony, firm (market) tone"
送金,そうきん,"remittance, sending money"
精密,せいみつ,"precise, exact, detailed, minute, close"
辛うじて,かろうじて,"barely, narrowly, just manage to do st"
一帯,いったい,"a region, a zone, the whole place"
寄贈,きそう,"donation, presentation"
漁村,ぎょそん,fishing village
適応,てきおう,"adaptation, accommodation, conformity"
施設,しせつ,"institution, establishment, facility, (army) engineer"
明白,あからさま,"obvious, overt, plainly, frankly"
概略,がいりゃく,"outline, summary, gist, in brief"
相変わらず,あいかわらず,"as ever, as usual, the same"
至って,いたって,"very much, exceedingly, extremely"
要因,よういん,"primary factor, main cause"
政策,せいさく,"political measures, policy"
抜かす,ぬかす,"to omit, to leave out"
突く,つつく,"1. to thrust, to strike, to attack, 2. to poke, to nudge, to pick at"
相応,そうおう,"suitability, fitness"
萎む,しぼむ,"to wither, to fade (away), to shrivel, to wilt"
布告,ふこく,"edict, ordinance, proclamation"
,ガレージ,garage (at house)
天国,てんごく,"paradise, heaven, Kingdom of Heaven"
,ヤング,young
,ナイター,"game under lights (e.g. baseball) (lit: nighter), night game"
映像,えいぞう,"reflection, image"
発,はつ,"departure, beginning, counter for gunshots"
事柄,ことがら,"matter, thing, affair, circumstance"
商人,あきうど,"trader, shopkeeper, merchant"
統率,とうそつ,"command, lead, generalship, leadership"
長々,ながなが,"long, drawn-out, very long"
持て成す,もてなす,"to entertain, to make welcome"
結束,けっそく,"union, unity"
小切手,こぎって,"cheque, check"
丸で,まるで,"quite, entirely, completely, at all, as if, as though, so to speak"
染める,そめる,"to dye, to colour"
日付,かづけ,"date, dating"
,アイデア,idea
改まる,あらたまる,to be renewed
,デモンストレーション,demonstration
,ベスト,"best, vest"
旅客,りょかく,passenger (transport)
為さる,なさる,to do
内訳,うちわけ,"the items, breakdown, classification"
本文,ほんぶん,"text (of document), body (of letter)"
助言,じょげん,"advice, suggestion"
朝寝坊,あさねぼう,"oversleeping, late riser"
登校,とうこう,attendance (at school)
丁目,ちょうめ,"district of a town, city block (of irregular size)"
恥,はじ,"shame, embarrassment"
行為,こうい,"act, deed, conduct"
生温い,なまぬるい,"lukewarm, halfhearted"
捕吏,ほり,constable
夜中,やちゅう,"all night, the whole night"
乗客,じょうかく,passenger
基,もとい,basis
,トランジスター,transistor
衰える,おとろえる,"to become weak, to decline, to wear, to abate, to decay, to wither, to waste away"
藍褸,ぼろ,"rag, scrap, tattered clothes, fault (esp. in a pretense), defect, run-down or junky"
尚,なお,"furthermore, still, yet, more, still more, greater, further, less"
拝啓,はいけい,Dear (so and so)
吊り革,つりかわ,strap
凡そ,およそ,"about, roughly, as a rule, approximately"
鉛,なまり,lead (the metal)
調べ,しらべ,"preparation, investigation, inspection"
降伏,こうふく,"capitulation, surrender, submission"
職員,しょくいん,"staff member, personnel"
諸,しょ,"various, many, several"
若しかしたら,もしかしたら,"perhaps, maybe, by some chance"
訴え,うったえ,"lawsuit, complaint"
汚す,けがす,"to disgrace, to dishonour"
持てる,もてる,"to be well liked, to be popular"
部下,ぶか,subordinate person
原則,げんそく,"principle, general rule"
預金,よきん,"deposit, bank account"
駆ける,かける,"to run (race esp. horse), to gallop, to canter"
画期,かっき,epoch-making
暗算,あんざん,mental arithmetic
驚異,きょうい,"wonder, miracle"
整列,せいれつ,"stand in a row, form a line"
,ずれる,"to slide, to slip off"
郷里,きょうり,"birth-place, home town"
酸化,さんか,oxidation
観点,かんてん,point of view
滅びる,ほろびる,"to be ruined, to go under, to perish, to be destroyed"
要する,ようする,"to demand, to require, to take"
歪む,いがむ,"to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv"
守衛,しゅえい,"security guard, doorkeeper"
標語,ひょうご,"motto, slogan, catchword"
練る,ねる,"to knead, to work over, to polish up"
総合,そうごう,"synthesis, coordination, putting together, integration, composite"
陳列,ちんれつ,"exhibition, display, show"
お供,おとも,"attendant, companion"
人目,じんもく,"glimpse, public gaze"
漂う,ただよう,"to drift about, to float, to hang in air"
不便,ふびん,"pity, compassion"
貶す,けなす,to speak ill of
朗読,ろうどく,"reading aloud, recitation"
柵,さく,"fence, paling"
済まない,すまない,sorry (phrase)
産休,さんきゅう,maternity leave
代弁,だいべん,"pay by proxy, act for another, speak for another"
落ち込む,おちこむ,"to fall into, to feel down (sad)"
遂げる,とげる,"to accomplish, to achieve, to carry out"
沿線,えんせん,along railway line
幾多,いくた,"many, numerous"
回覧,かいらん,circulation
,ジャンプ,jump
初版,しょはん,first edition
知性,ちせい,intelligence
眩しい,まぶしい,"dazzling, radiant"
引き取る,ひきとる,"to take charge of, to take over, to retire to a private place"
お願いします,おねがいします,please
明かす,あかす,"to pass, spend, to reveal, to divulge"
善し悪し,よしあし,"good or bad, merits or demerits, quality, suitability"
所得,しょとく,"income, earnings"
球根,きゅうこん,(plant) bulb
無茶苦茶,むちゃくちゃ,"confused, jumbled, mixed up, unreasonable"
,タイマー,timer
幹線,かんせん,"main line, trunk line"
権力,けんりょく,"power, authority, influence"
捲る,まくる,verb suffix to indicate reckless abandon to the activity
成る丈,なるたけ,"as much as possible, if possible"
国定,こくてい,"state-sponsored, national"
重なる,おもなる,"main, principal, important"
省みる,かえりみる,to reflect
打撃,だげき,"1. blow, shock, strike, damage, 2. batting (baseball)"
粘る,ねばる,"to be sticky, to be adhesive, to persevere, to persist, to stick to"
圧迫,あっぱく,"pressure, coercion, oppression"
同志,どうし,"same mind, comrade, kindred soul"
招き,まねき,invitation
六,む,(num) six
弁護,べんご,"defense, pleading, advocacy"
分子,ぶんし,"numerator, molecule"
損失,そんしつ,loss
凝らす,こごらす,"to freeze, to congeal"
側面,そくめん,"side, flank, sidelight, lateral"
休学,きゅうがく,"temporary absence from school, suspension"
同盟,どうめい,"alliance, union, league"
仰っしゃる,おっしゃる,"to say, to speak, to tell, to talk"
葬る,ほうむる,"to bury, to inter, to entomb, to consign to oblivion, to shelve"
差し引く,さしひく,to deduct
遣い,つかい,"mission, simple task, doing"
即ち,すなわち,"that is, namely, i.e."
還元,かんげん,"resolution, reduction, return to origins"
打ち合わせ,うちあわせ,"business meeting, previous arrangement, appointment"
義理,ぎり,"duty, sense of duty, honor, decency, courtesy, debt of gratitude, social obligation"
代,しろ,"price, materials, substitution"
海抜,かいばつ,height above sea level
兆,きざし,"signs, omen, symptoms"
武装,ぶそう,"arms, armament, armed"
年生,ねんせい,"pupil in .... year, student in .... year"
振興,しんこう,"promotion, encouragement"
ずぶ濡れ,ずぶぬれ,"soaked, dripping wet"
外貨,がいか,"imported goods, foreign money"
衣類,いるい,"clothes, clothing, garments"
対辺,たいへん,(geometrical) opposite side
掲載,けいさい,appearance (e.g. article in paper)
清純,せいじゅん,"purity, innocence"
保母,ほぼ,day care worker in a kindergarten nursery school etc.
少数,しょうすう,"minority, few"
意欲,いよく,"will, desire, ambition"
先天的,せんてんてき,"a priori, inborn, innate, inherent, congenital, hereditary"
浪費,ろうひ,"waste, extravagance"
吟味,ぎんみ,"testing, scrutiny, careful investigation"
久し振り,ひさしぶり,after a long time
殊に,ことに,"especially, above all"
冷酷,れいこく,"cruelty, coldheartedness, relentless, ruthless"
駆けっこ,かけっこ,(foot) race
共産,きょうさん,communism
共存,きょうそん,coexistence
発言,はつげん,"utterance, speech, proposal"
赤らむ,あからむ,"to become red, to redden, to blush"
企画,きかく,"planning, project"
持ち切り,もちきり,"hot topic, talk of the town"
掌,たなごころ,the palm
主催,しゅさい,"organization, sponsorship"
仕組み,しくみ,"devising, plan, plot, contrivance, construction, arrangement"
塩,えん,salt
災害,さいがい,"calamity, disaster, misfortune"
終日,しゅうじつ,all day
領海,りょうかい,territorial waters
着,ちゃく,"counter for suits of clothing, arriving at .."
産婦人科,さんふじんか,maternity and gynecology department
似通う,にかよう,to resemble closely
,チェンジ,change
憎しみ,にくしみ,hatred
一人,いちにん,one person
高,たか,"quantity, amount, volume, number, amount of money"
詰まり,つまり,"in short, in brief, in other words, that is to say, in the long run, after all, blockade, stuffing, ultimate"
雇用,こよう,"employment (long term), hire"
攻め,せめ,"attack, offence"
乳,ちち,"milk, breast, loop"
傾斜,けいしゃ,"inclination, slant, slope, bevel, list, dip"
公募,こうぼ,"public appeal, public contribution"
規模,きぼ,"scale, scope, plan, structure"
擦れ違い,すれちがい,chance encounter
主権,しゅけん,"sovereignty, supremacy, dominion"
一敗,いっぱい,one defeat
仕様,しよう,"way, method, resource, remedy, (technical) specification"
据える,すえる,"to set (table), to lay (foundation), to place (gun), to apply (moxa)"
助詞,じょし,"particle, postposition"
根本,こんぽん,"origin, source, foundation, root, base, principle"
収容,しゅうよう,"accommodation, reception, seating, housing, custody, admission, entering (in a dictionary)"
果てる,はてる,"to end, to be finished, to be exhausted, to die, to perish"
手回し,てまわし,"preparations, arrangements"
宛てる,あてる,to address
出合う,であう,"to meet by chance, to come across, to happen to encounter, to hold a rendezvous, to have a date"
破棄,はき,"revocation, annulment, breaking (e.g. treaty)"
群がる,むらがる,"to swarm, to gather"
所持,しょじ,"possession, owning"
単独,たんどく,"sole, independence, single, solo (flight)"
品種,ひんしゅ,"brand, kind, description"
摘む,つまむ,"to pinch, to hold, to pick up"
味わい,あじわい,"flavour, meaning, significance"
交える,まじえる,"to mix, to converse with, to cross (swords)"
お出でになる,おいでになる,to be
不吉,ふきつ,"ominous, sinister, bad luck, ill omen, inauspiciousness"
差異,さい,"difference, disparity"
賭け,かけ,"betting, gambling, a gamble"
弱まる,よわまる,"to abate, to weaken, to be emaciated, to be dejected, to be perplexed"
熱湯,ねっとう,boiling water
平均,ならし,"equilibrium, balance, average, mean"
補給,ほきゅう,"supply, supplying, replenishment"
澄ます,すます,"to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs"
成り立つ,なりたつ,"to conclude, to consist of, to be practical (logical feasible viable), to hold true"
お世辞,おせじ,"flattery, compliment"
軍,いくさ,"war, battle, campaign, fight"
総,そう,"whole, all, general, gross"
退職,たいしょく,retirement (from office)
絶望,ぜつぼう,"despair, hopelessness"
襲う,おそう,to attack
短気,たんき,quick temper
着工,ちゃっこう,start of (construction) work
丁々,とうとう,"clashing of swords, felling of trees, ringing of an ax"
戦力,せんりょく,war potential
横綱,よこづな,sumo grand champion
有益,ゆうえき,"beneficial, profitable"
集まる,あつまる,"to gather, to collect, to assemble"
益々,ますます,"increasingly, more and more"
世帯,せたい,household
諸君,しょくん,"Gentlemen!, Ladies!"
慌てる,あわてる,to become confused (disconcerted disorganized)
略奪,りゃくだつ,"pillage, plunder, looting, robbery"
枠,わく,"frame, slide"
鍛える,きたえる,"to forge, to drill, to temper, to train, to discipline"
描写,びょうしゃ,"depiction, description, portrayal"
除外,じょがい,"exception, exclusion"
試みる,こころみる,"to try, to test"
決算,けっさん,"balance sheet, settlement of accounts"
殺人,さつじん,murder
推測,すいそく,"guess, conjecture"
お早う,おはよう,Good morning
正義,せいぎ,"justice, right, righteousness, correct meaning"
縁側,えんがわ,"veranda, porch, balcony, open corridor"
公開,こうかい,presenting to the public
,おどおど,"coweringly, hesitantly"
床,とこ,"bed, sickbed, alcove, padding"
操縦,そうじゅう,"management, handling, control, manipulation"
破裂,はれつ,"explosion, rupture, break off"
何れ,どれ,"well, now, let me see, which (of three or more)"
最善,さいぜん,the very best
,ファイル,file
,アンケート,"(fr:) (n) questionnaire (fr: enquete), survey"
尽きる,つきる,"to be used up, to be run out, to be exhausted, to be consumed, to come to an end"
授ける,さずける,"to grant, to award, to teach"
甲,きのえ,"1st in rank, first sign of the Chinese calendar, shell, instep, grade A"
軍備,ぐんび,"armaments, military preparations"
貫禄,かんろく,"presence, dignity"
均衡,きんこう,"equilibrium, balance"
対等,たいとう,equivalent
臍,へそ,"navel, belly-button"
鉄片,てっぺん,iron scraps
引き起こす,ひきおこす,to cause
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure"
気質,かたぎ,"spirit, character, trait, temperament, disposition"
炙る,あぶる,to scorch
疑惑,ぎわく,"doubt, misgivings, distrust, suspicion"
視野,しや,"field of vision, outlook"
様,さま,"Mr. or Mrs., manner, kind, appearance"
直ぐ,すぐ,"immediately, soon, easily, right (near), honest, upright"
妬む,ねたむ,"to be jealous, to be envious"
守備,しゅび,defense
納まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered"
借り,かり,"borrowing, debt, loan"
火星,かせい,Mars (planet)
大水,おおみず,flood
,アンコール,encore
取りあえず,とりあえず,"at once, first of all, for the time being"
処分,しょぶん,"disposal, dealing, punishment"
,シック,chic
展望,てんぼう,"view, outlook, prospect"
其処ら,そこら,"everywhere, somewhere, approximately, that area, around there"
,タイピスト,typist
,アップ,up
面目,めんぼく,"face, honour, reputation, prestige, dignity, credit"
,ダンプ,dump
規定,きてい,"regulation, provisions"
余暇,よか,"leisure, leisure time, spare time"
真理,しんり,truth
,アプローチ,approach (in golf)
,カテゴリー,category
台本,だいほん,"libretto, scenario"
生やす,はやす,"to grow, to cultivate, to wear beard"
興じる,きょうじる,"to amuse oneself, to make merry"
喜劇,きげき,"comedy, funny show"
家来,けらい,"retainer, retinue, servant"
乱れる,みだれる,"to get confused, to be disordered, to be disturbed"
勤労,きんろう,"labor, exertion, diligent service"
無意味,むいみ,"nonsense, no meaning"
縁談,えんだん,"marriage proposal, engagement"
眠たい,ねむたい,sleepy
保険,ほけん,"insurance, guarantee"
雨具,あまぐ,rain gear
限定,げんてい,"limit, restriction"
定める,さだめる,"to decide, to establish, to determine"
半端,はんぱ,"remnant, fragment, incomplete set, fraction, odd sum, incompleteness"
間柄,あいだがら,relation(ship)
,レバー,"lever, liver"
衆,しゅう,"masses, great number, the people"
鉱山,こうざん,mine (ore)
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take"
筒,つつ,"pipe, tube"
返る,かえる,"to return, to come back, to go back"
他人,あだびと,"another person, unrelated person, outsider, stranger"
見地,けんち,point of view
率いる,ひきいる,"to lead, to spearhead (a group), to command (troops)"
名札,なふだ,"name plate, name tag"
,ヒント,hint
煩わしい,わずらわしい,"troublesome, annoying, complicated"
母校,ぼこう,alma mater
免除,めんじょ,"exemption, exoneration, discharge"
,ウェートレス,waitress
定義,ていぎ,definition
欺く,あざむく,to deceive
交わる,まじわる,"to cross, to intersect, to associate with, to mingle with, to interest, to join"
,ミリ,"milli-, 10^-3"
声明,せいめい,"declaration, statement, proclamation"
風車,かざぐるま,"1. windmill, 2. pinwheel"
失格,しっかく,"disqualification, elimination, incapacity (legal)"
勇敢,ゆうかん,"bravery, heroism, gallantry"
何卒,なにとぞ,please
弓,ゆみ,bow (and arrow)
持続,じぞく,continuation
日当,にっとう,daily allowance
下地,したじ,"groundwork, foundation, inclination, aptitude, elementary knowledge of, grounding in, prearrangement, spade"
目盛,めもり,"scale, gradations"
其処,そこ,"that place, there"
欲深い,よくふかい,greedy
決意,けつい,"decision, determination"
勤め先,つとめさき,place of work
不服,ふふく,"dissatisfaction, discontent, disapproval, objection, complaint, protest, disagreement"
介抱,かいほう,"nursing, looking after"
回収,かいしゅう,"collection, recovery"
報じる,ほうじる,"to inform, to report"
果て,はて,"the end, the extremity, the limit(s), the result"
汚れる,けがれる,"to get dirty, to become dirty"
態勢,たいせい,"attitude, conditions, preparations"
焦る,あせる,"to be in a hurry, to be impatient"
準じる,じゅんじる,"to follow, to conform, to apply to"
地獄,じごく,hell
業者,ぎょうしゃ,"trader, merchant"
背景,はいけい,"background, scenery, setting, circumstance"
不当,ふとう,"injustice, impropriety, unreasonableness, undeservedness, unfair, invalid"
俺,おれ,I (ego) (boastful first-person pronoun)
,ノイローゼ,(de:) (n) neurosis (de: Neurose)
片思い,かたおもい,unrequited love
面会,めんかい,interview
顎,あご,chin
ご馳走,ごちそう,"feast, treating (someone)"
乃至,ないし,"from...to, between...and, or"
全盛,ぜんせい,height of prosperity
若しかすると,もしかすると,"perhaps, maybe, by some chance"
張り紙,はりがみ,"paper patch, paper backing, poster"
忠告,ちゅうこく,"advice, warning"
勤まる,つとまる,"to be fit for, to be equal to, to function properly"
幽霊,ゆうれい,"ghost, specter, apparition, phantom"
勤勉,きんべん,"industry, diligence"
法案,ほうあん,bill (law)
お先に,おさきに,"before, ahead, previously"
ご苦労様,ごくろうさま,Thank you very much for your....
身振り,みぶり,gesture
大便,だいべん,"feces, excrement, shit"
大方,おおかた,"perhaps, almost all, majority"
徐行,じょこう,going slowly
心地,ここち,"feeling, sensation, mood"
対立,たいりつ,"confrontation, opposition, antagonism"
転転,てんてん,"rolling about, moving from place to place, being passed around repeatedly"
逞しい,たくましい,"burly, strong, sturdy"
街頭,がいとう,in the street
揺らぐ,ゆらぐ,"to swing, to sway, to shake, to tremble"
有様,ありさま,"state, condition, circumstances, the way things are or should be, truth"
伝説,でんせつ,"tradition, legend, folklore"
欲望,よくぼう,"desire, appetite"
細やか,こまやか,friendly
,くっきり,"distinctly, clearly, boldly"
,インターフォン,intercom
,あべこべ,"contrary, opposite, inverse"
採集,さいしゅう,"collecting, gathering"
年輪,ねんりん,annual tree ring
先だって,せんだって,"recently, the other day"
,ワット,watt
目覚しい,めざましい,"brilliant, splendid, striking, remarkable"
退学,たいがく,dropping out of school
頂,いただき,"(top of) head, summit, spire"
繕う,つくろう,"to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim"
尊ぶ,たっとぶ,"to value, to prize, to esteem"
付録,ふろく,"appendix, supplement"
制,せい,"system, organization, imperial command, laws, regulation, control, government, suppression, restraint, holdin"
内臓,ないぞう,"internal organs, intestines, viscera"
固体,こたい,solid (body)
暫く,しばらく,little while
緩む,ゆるむ,"to become loose, to slacken"
恐らく,おそらく,perhaps
南,なん,south
孤立,こりつ,"isolation, helplessness"
運賃,うんちん,"freight rates, shipping expenses, fare"
,ずれ,"gap, slippage"
安っぽい,やすっぽい,"cheap-looking, tawdry, insignificant"
年号,ねんごう,"name of an era, year number"
創立,そうりつ,"establishment, founding, organization"
,レディー,lady
賃金,ちんぎん,wages
同居,どうきょ,living together
不図,ふと,"suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally"
同情,どうじょう,"sympathy, compassion, sympathize, pity, feel for"
仏像,ぶつぞう,Buddhist image (statue)
懸賞,けんしょう,"offering prizes, winning, reward"
大衆,たいしゅう,general public
干し物,ほしもの,dried washing (clothes)
街道,かいどう,highway
其れ共,それとも,"or, or else"
脳,のう,"brain, memory"
酪農,らくのう,dairy (farm)
特有,とくゆう,"characteristic (of), peculiar (to)"
補足,ほそく,"supplement, complement"
共鳴,きょうめい,"resonance, sympathy"
上司,じょうし,"superior authorities, boss"
跡切れる,とぎれる,"to pause, to be interrupted"
沢山,たくさん,"many, a lot, much"
馬鹿らしい,ばからしい,absurd
依然,いぜん,"still, as yet"
過疎,かそ,depopulation
味覚,みかく,"taste, palate, sense of taste"
遺跡,いせき,historic ruins (remains relics)
竿,さお,"rod, pole (e.g. for drying laundry)"
赤ちゃん,あかちゃん,"baby, infant"
十分,じっぷん,10 minutes
努めて,つとめて,"make an effort!, work hard!"
共学,きょうがく,coeducation
抑制,よくせい,suppression
同意,どうい,"agreement, consent, same meaning, same opinion, approval"
分母,ぶんぼ,denominator
伝来,でんらい,"ancestral, hereditary, imported, transmitted, handed down"
有する,ゆうする,"to own, to be endowed with"
感無量,かんむりょう,"deep feeling, inexpressible feeling, filled with emotion"
製法,せいほう,"manufacturing method, recipe, formula"
大金,たいきん,great cost
船舶,せんぱく,ship
過密,かみつ,crowded
究極,きゅうきょく,"ultimate, final, eventual"
重役,おもやく,"heavy responsibilities, director"
国防,こくぼう,national defence
臆病,おくびょう,"cowardice, timidity"
前もって,まえもって,"in advance, beforehand, previously"
迚も,とても,"very, awfully, exceedingly"
銃,つつ,gun
再,さい,"re-, again, repeated"
耕作,こうさく,"cultivation, farming"
脱出,だっしゅつ,escape
知り合い,しりあい,acquaintance
津波,つなみ,"tsunami, tidal wave"
不明,ふめい,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified"
取り混ぜる,とりまぜる,"to mix, to put together"
遠回り,とおまわり,"detour, roundabout way"
保障,ほしょう,"guarantee, security, assurance, pledge, warranty"
戸籍,こせき,"census, family register"
関与,かんよ,"participation, taking part in, participating in, being concerned in"
事前,じぜん,"prior, beforehand, in advance"
市,いち,"market, fair"
外方,そっぽ,look (or turn) the other way
甥,おい,nephew
盲点,もうてん,blind spot
何故,なぜ,"why, how"
盛大,せいだい,"grand, prosperous, magnificent"
不順,ふじゅん,"irregularity, unseasonableness"
志望,しぼう,"wish, desire, ambition"
藁,わら,straw
進展,しんてん,"progress, development"
新,しん,new
返答,へんとう,reply
動力,どうりょく,"power, motive power, dynamic force"
目蓋,まぶた,eyelid
呆気ない,あっけない,"not enough, too quick (short long etc.)"
軍服,ぐんぷく,military or naval uniform
軽快,けいかい,"rhythmical (e.g. melody), casual (e.g. dress), light, nimble"
,きっちり,"precisely, tightly"
合併,がっぺい,"combination, union, amalgamation, consolidation, merger, coalition, fusion, annexation, affiliation, incorpor"
素朴,そぼく,"simplicity, artlessness, naivete"
圧力,あつりょく,"stress, pressure"
惜しむ,おしむ,"to be frugal, to value, to regret"
自首,じしゅ,"surrender, give oneself up"
救い,すくい,"help, aid, relief"
記す,しるす,"to note, to write down"
正常,せいじょう,"normalcy, normality, normal"
,ぶらぶら,"dangle heavily, swing, sway to and fro, aimlessly, idly, lazily, loiter, loaf, be idle, stroll idly"
何しろ,なにしろ,"at any rate, anyhow, anyway, in any case"
該当,がいとう,"corresponding, answering to, coming under"
出産,しゅっさん,"(child)birth, delivery, production (of goods)"
天体,てんたい,heavenly body
嚏,くしゃみ,sneeze
多様,たよう,"diversity, variety"
